Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_080000.WAV	18.0	21.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_080000.WAV	0.0	3.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	9.0	12.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_080000.WAV	48.0	51.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240216_070000.WAV	27.0	30.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240215_070000.WAV	39.0	42.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240216_070000.WAV	42.0	45.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	45.0	48.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	27.0	30.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	12.0	15.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_080000.WAV	30.0	33.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	18.0	21.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240226_063000.WAV	18.0	21.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240225_073000.WAV	54.0	57.0	NA	NA	NA	0	NA
15	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_113000.WAV	30.0	33.0	NA	NA	NA	0	NA
16	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240214_073000.WAV	51.0	54.0	NA	NA	NA	0	NA
17	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6404	G6404_20240226_073000.WAV	51.0	54.0	NA	NA	NA	0	NA
18	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6404	G6404_20240226_080000.WAV	39.0	42.0	NA	NA	NA	0	NA
19	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240218_073000.WAV	0.0	3.0	NA	NA	NA	0	NA
20	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240214_073000.WAV	54.0	57.0	NA	NA	NA	0	NA
21	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_073000.WAV	33.0	36.0	NA	NA	NA	0	NA
22	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240229_063000.WAV	27.0	30.0	NA	NA	NA	0	NA
23	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240210_063000.WAV	21.0	24.0	NA	NA	NA	0	NA
24	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240213_140000.WAV	45.0	48.0	NA	NA	NA	0	NA
25	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240213_070000.WAV	33.0	36.0	NA	NA	NA	0	NA
26	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_073000.WAV	27.0	30.0	NA	NA	NA	0	NA
27	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240218_073000.WAV	57.0	60.0	NA	NA	NA	0	NA
28	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6403	G6403_20240223_070000.WAV	57.0	60.0	NA	NA	NA	0	NA
29	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6465	G6465_20240224_080000.WAV	9.0	12.0	NA	NA	NA	0	NA
30	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6404	G6404_20240224_070000.WAV	27.0	30.0	NA	NA	NA	0	NA
31	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240214_063000.WAV	51.0	54.0	NA	NA	NA	0	NA
32	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240213_070000.WAV	39.0	42.0	NA	NA	NA	0	NA
33	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240216_080000.WAV	0.0	3.0	NA	NA	NA	0	NA
34	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240210_063000.WAV	45.0	48.0	NA	NA	NA	0	NA
35	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6442	G6442_20240214_100000.WAV	27.0	30.0	NA	NA	NA	0	NA
36	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240210_090000.WAV	24.0	27.0	NA	NA	NA	0	NA
37	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240214_073000.WAV	3.0	6.0	NA	NA	NA	0	NA
38	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6403	G6403_20240225_070000.WAV	9.0	12.0	NA	NA	NA	0	NA
39	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240211_113000.WAV	33.0	36.0	NA	NA	NA	0	NA
40	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240213_083000.WAV	39.0	42.0	NA	NA	NA	0	NA
41	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6403	G6403_20240225_063000.WAV	30.0	33.0	NA	NA	NA	0	NA
42	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6421	G6421_20240227_150000.WAV	15.0	18.0	NA	NA	NA	0	NA
43	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6404	G6404_20240220_063000.WAV	57.0	60.0	NA	NA	NA	0	NA
44	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6403	G6403_20240226_063000.WAV	6.0	9.0	NA	NA	NA	0	NA
45	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240225_153000.WAV	39.0	42.0	NA	NA	NA	0	NA
46	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240224_063000.WAV	30.0	33.0	NA	NA	NA	0	NA
47	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240211_100000.WAV	45.0	48.0	NA	NA	NA	0	NA
48	Spectrogram 1	1	0	3	0	White-shouldered Antbird	Akletos melanoceps		G6464	G6464_20240228_100000.WAV	3.0	6.0	NA	NA	NA	0	NA
