Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6395	G6395_20240224_143000.WAV	39.0	42.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G7276	G7276_20240212_180000.WAV	27.0	30.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6464	G6464_20240211_073000.WAV	48.0	51.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6455	G6455_20240208_070000.WAV	24.0	27.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6394	G6394_20240224_063000.WAV	3.0	6.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6406	G6406_20240217_080000.WAV	51.0	54.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6467	G6467_20240229_080000.WAV	33.0	36.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6394	G6394_20240211_070000.WAV	30.0	33.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6462	G6462_20240217_090000.WAV	51.0	54.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6381	G6381_20240210_073000.WAV	21.0	24.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6395	G6395_20240211_080000.WAV	21.0	24.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6465	G6465_20240219_073000.WAV	24.0	27.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6465	G6465_20240224_063000.WAV	51.0	54.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6395	G6395_20240211_080000.WAV	24.0	27.0	NA	NA	NA	0	NA
15	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6406	G6406_20240215_063000.WAV	45.0	48.0	NA	NA	NA	0	NA
16	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6462	G6462_20240209_143000.WAV	51.0	54.0	NA	NA	NA	0	NA
17	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6408	G6408_20240212_063000.WAV	54.0	57.0	NA	NA	NA	0	NA
18	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6419	G6419_20240226_063000.WAV	15.0	18.0	NA	NA	NA	0	NA
19	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6408	G6408_20240215_063000.WAV	36.0	39.0	NA	NA	NA	0	NA
20	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6418	G6418_20240214_093000.WAV	27.0	30.0	NA	NA	NA	0	NA
21	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6408	G6408_20240219_063000.WAV	45.0	48.0	NA	NA	NA	0	NA
22	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6408	G6408_20240213_153000.WAV	48.0	51.0	NA	NA	NA	0	NA
23	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6421	G6421_20240210_090000.WAV	36.0	39.0	NA	NA	NA	0	NA
24	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6406	G6406_20240215_063000.WAV	42.0	45.0	NA	NA	NA	0	NA
25	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6408	G6408_20240215_063000.WAV	6.0	9.0	NA	NA	NA	0	NA
26	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6371	G6371_20240211_070000.WAV	27.0	30.0	NA	NA	NA	0	NA
27	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G7276	G7276_20240223_073000.WAV	15.0	18.0	NA	NA	NA	0	NA
28	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G7276	G7276_20240228_093000.WAV	6.0	9.0	NA	NA	NA	0	NA
29	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6403	G6403_20240215_113000.WAV	27.0	30.0	NA	NA	NA	0	NA
30	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6406	G6406_20240209_143000.WAV	48.0	51.0	NA	NA	NA	0	NA
31	Spectrogram 1	1	0	3	0	Ringed Antpipit	Corythopis torquatus		G6403	G6403_20240215_113000.WAV	30.0	33.0	NA	NA	NA	0	NA
