Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6467	G6467_20240227_113000.WAV	18.0	21.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6467	G6467_20240227_113000.WAV	0.0	3.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6370	G6370_20240229_123000.WAV	3.0	6.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6462	G6462_20240301_110000.WAV	42.0	45.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6381	G6381_20240225_070000.WAV	21.0	24.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6381	G6381_20240225_070000.WAV	57.0	60.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6455	G6455_20240220_113000.WAV	48.0	51.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6371	G6371_20240225_093000.WAV	24.0	27.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6418	G6418_20240223_180000.WAV	18.0	21.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6414	G6414_20240301_130000.WAV	18.0	21.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6370	G6370_20240216_110000.WAV	42.0	45.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6383	G6383_20240215_140000.WAV	15.0	18.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6370	G6370_20240301_163000.WAV	21.0	24.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Violaceous Jay	Cyanocorax violaceus		G6376	G6376_20240210_110000.WAV	30.0	33.0	NA	NA	NA	0	NA
