Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6437	G6437_20240218_110000.WAV	30.0	33.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240221_090000.WAV	3.0	6.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240209_180000.WAV	0.0	3.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6429	G6429_20240226_070000.WAV	36.0	39.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6408	G6408_20240223_143000.WAV	21.0	24.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240217_180000.WAV	15.0	18.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240213_180000.WAV	21.0	24.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6370	G6370_20240218_060000.WAV	27.0	30.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240223_073000.WAV	45.0	48.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240218_083000.WAV	18.0	21.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6421	G6421_20240216_063000.WAV	30.0	33.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Rufous-capped Antthrush	Formicarius colma		G6413	G6413_20240212_180000.WAV	45.0	48.0	NA	NA	NA	0	NA
