Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6467	G6467_20240217_090000.WAV	9.0	12.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6404	G6404_20240222_070000.WAV	36.0	39.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6464	G6464_20240209_130000.WAV	57.0	60.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6469	G6469_20240226_073000.WAV	6.0	9.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6404	G6404_20240229_083000.WAV	57.0	60.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6429	G6429_20240210_143000.WAV	51.0	54.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6460	G6460_20240301_060000.WAV	12.0	15.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6383	G6383_20240225_173000.WAV	18.0	21.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6394	G6394_20240301_173000.WAV	27.0	30.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6403	G6403_20240229_040000.WAV	6.0	9.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6376	G6376_20240210_160000.WAV	57.0	60.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6371	G6371_20240218_060000.WAV	24.0	27.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6376	G6376_20240209_063000.WAV	39.0	42.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Rusty-belted Tapaculo	Liosceles thoracicus		G6383	G6383_20240226_113000.WAV	36.0	39.0	NA	NA	NA	0	NA
