Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6403	G6403_20240225_173000.WAV	6.0	9.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240220_173000.WAV	3.0	6.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240218_083000.WAV	24.0	27.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6445	G6445_20240213_063000.WAV	9.0	12.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240217_143000.WAV	3.0	6.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6395	G6395_20240222_170000.WAV	42.0	45.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240214_140000.WAV	6.0	9.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240229_163000.WAV	39.0	42.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240302_153000.WAV	57.0	60.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6376	G6376_20240215_160000.WAV	30.0	33.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240221_070000.WAV	39.0	42.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240217_133000.WAV	0.0	3.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240229_143000.WAV	9.0	12.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6394	G6394_20240219_093000.WAV	57.0	60.0	NA	NA	NA	0	NA
15	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240212_153000.WAV	24.0	27.0	NA	NA	NA	0	NA
16	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6403	G6403_20240221_143000.WAV	33.0	36.0	NA	NA	NA	0	NA
17	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6376	G6376_20240229_163000.WAV	3.0	6.0	NA	NA	NA	0	NA
18	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6371	G6371_20240229_123000.WAV	51.0	54.0	NA	NA	NA	0	NA
19	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240224_053000.WAV	18.0	21.0	NA	NA	NA	0	NA
20	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240227_133000.WAV	24.0	27.0	NA	NA	NA	0	NA
21	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240229_163000.WAV	21.0	24.0	NA	NA	NA	0	NA
22	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240228_130000.WAV	18.0	21.0	NA	NA	NA	0	NA
23	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240214_153000.WAV	39.0	42.0	NA	NA	NA	0	NA
24	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6376	G6376_20240229_170000.WAV	12.0	15.0	NA	NA	NA	0	NA
25	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240226_063000.WAV	0.0	3.0	NA	NA	NA	0	NA
26	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240224_103000.WAV	15.0	18.0	NA	NA	NA	0	NA
27	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6460	G6460_20240217_150000.WAV	6.0	9.0	NA	NA	NA	0	NA
28	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6406	G6406_20240214_150000.WAV	12.0	15.0	NA	NA	NA	0	NA
29	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6403	G6403_20240229_163000.WAV	33.0	36.0	NA	NA	NA	0	NA
30	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240215_130000.WAV	51.0	54.0	NA	NA	NA	0	NA
31	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6413	G6413_20240208_070000.WAV	21.0	24.0	NA	NA	NA	0	NA
32	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6465	G6465_20240229_150000.WAV	0.0	3.0	NA	NA	NA	0	NA
33	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240209_140000.WAV	54.0	57.0	NA	NA	NA	0	NA
34	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240227_163000.WAV	21.0	24.0	NA	NA	NA	0	NA
35	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240212_140000.WAV	48.0	51.0	NA	NA	NA	0	NA
36	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6394	G6394_20240220_093000.WAV	57.0	60.0	NA	NA	NA	0	NA
37	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6437	G6437_20240214_153000.WAV	51.0	54.0	NA	NA	NA	0	NA
38	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6406	G6406_20240215_170000.WAV	21.0	24.0	NA	NA	NA	0	NA
39	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6371	G6371_20240229_110000.WAV	39.0	42.0	NA	NA	NA	0	NA
40	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6464	G6464_20240227_150000.WAV	48.0	51.0	NA	NA	NA	0	NA
41	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6406	G6406_20240218_163000.WAV	39.0	42.0	NA	NA	NA	0	NA
42	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6408	G6408_20240225_170000.WAV	27.0	30.0	NA	NA	NA	0	NA
43	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240217_160000.WAV	12.0	15.0	NA	NA	NA	0	NA
44	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6429	G6429_20240217_130000.WAV	48.0	51.0	NA	NA	NA	0	NA
45	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6383	G6383_20240217_150000.WAV	3.0	6.0	NA	NA	NA	0	NA
46	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6371	G6371_20240229_120000.WAV	21.0	24.0	NA	NA	NA	0	NA
47	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6455	G6455_20240212_140000.WAV	48.0	51.0	NA	NA	NA	0	NA
48	Spectrogram 1	1	0	3	0	Thrush-like Antpitta	Myrmothera campanisona		G6408	G6408_20240218_163000.WAV	36.0	39.0	NA	NA	NA	0	NA
