Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6381	G6381_20240226_210000.WAV	0.0	3.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6469	G6469_20240228_203000.WAV	48.0	51.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6404	G6404_20240220_223000.WAV	57.0	60.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6418	G6418_20240223_233000.WAV	18.0	21.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6418	G6418_20240228_230000.WAV	36.0	39.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6376	G6376_20240209_043000.WAV	27.0	30.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6469	G6469_20240215_200000.WAV	15.0	18.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6418	G6418_20240213_010000.WAV	33.0	36.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6381	G6381_20240226_203000.WAV	3.0	6.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6371	G6371_20240209_020000.WAV	3.0	6.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G7276	G7276_20240213_200000.WAV	24.0	27.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6376	G6376_20240209_000000.WAV	9.0	12.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6469	G6469_20240218_203000.WAV	18.0	21.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6381	G6381_20240223_220000.WAV	39.0	42.0	NA	NA	NA	0	NA
15	Spectrogram 1	1	0	3	0	Nocturnal Curassow	Nothocrax urumutum		G6381	G6381_20240223_220000.WAV	45.0	48.0	NA	NA	NA	0	NA
