Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6469	G6469_20240213_120000.WAV	30.0	33.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G7276	G7276_20240219_150000.WAV	9.0	12.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240219_173000.WAV	3.0	6.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240221_173000.WAV	21.0	24.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240216_073000.WAV	33.0	36.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240222_180000.WAV	3.0	6.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6469	G6469_20240213_120000.WAV	33.0	36.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240220_180000.WAV	24.0	27.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240213_103000.WAV	36.0	39.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240211_100000.WAV	51.0	54.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240222_180000.WAV	30.0	33.0	NA	NA	NA	0	NA
12	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240211_100000.WAV	30.0	33.0	NA	NA	NA	0	NA
13	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240211_100000.WAV	15.0	18.0	NA	NA	NA	0	NA
14	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240221_180000.WAV	36.0	39.0	NA	NA	NA	0	NA
15	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240223_150000.WAV	36.0	39.0	NA	NA	NA	0	NA
16	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240227_103000.WAV	3.0	6.0	NA	NA	NA	0	NA
17	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240219_173000.WAV	6.0	9.0	NA	NA	NA	0	NA
18	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6414	G6414_20240211_173000.WAV	12.0	15.0	NA	NA	NA	0	NA
19	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240210_130000.WAV	33.0	36.0	NA	NA	NA	0	NA
20	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240219_163000.WAV	3.0	6.0	NA	NA	NA	0	NA
21	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240218_073000.WAV	48.0	51.0	NA	NA	NA	0	NA
22	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240225_153000.WAV	48.0	51.0	NA	NA	NA	0	NA
23	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6383	G6383_20240213_120000.WAV	15.0	18.0	NA	NA	NA	0	NA
24	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240221_150000.WAV	33.0	36.0	NA	NA	NA	0	NA
25	Spectrogram 1	1	0	3	0	Osprey	Pandion haliaetus		G6462	G6462_20240218_213000.WAV	24.0	27.0	NA	NA	NA	0	NA
