Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6464	G6464_20240219_133000.WAV	51.0	54.0	NA	NA	NA	0	NA
2	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6437	G6437_20240225_140000.WAV	42.0	45.0	NA	NA	NA	0	NA
3	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6437	G6437_20240222_133000.WAV	33.0	36.0	NA	NA	NA	0	NA
4	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6464	G6464_20240222_113000.WAV	39.0	42.0	NA	NA	NA	0	NA
5	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6464	G6464_20240226_110000.WAV	12.0	15.0	NA	NA	NA	0	NA
6	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6437	G6437_20240213_123000.WAV	33.0	36.0	NA	NA	NA	0	NA
7	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6455	G6455_20240222_170000.WAV	18.0	21.0	NA	NA	NA	0	NA
8	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6464	G6464_20240222_103000.WAV	3.0	6.0	NA	NA	NA	0	NA
9	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6437	G6437_20240211_130000.WAV	36.0	39.0	NA	NA	NA	0	NA
10	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6437	G6437_20240209_153000.WAV	57.0	60.0	NA	NA	NA	0	NA
11	Spectrogram 1	1	0	3	0	Black-bellied Cuckoo	Piaya melanogaster		G6464	G6464_20240226_140000.WAV	57.0	60.0	NA	NA	NA	0	NA
