original_file,segment_file,Start_time (s),End_time (s),Clements2024_Scientific_Name,Confidence,latitude,longitude,project,locality,punto,municipality,timestamp,aru_type,recorder,habitat
./Calima/Despliegue5/Punto_22_202506_CA5/445B1132_20250622_071500.WAV,./Calima/Validation_1to5/random100_perch/Odontophorus_hyperythrus/2480708_445B1132_20250622_071500.flac,55,60,Odontophorus hyperythrus,0.548319,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250622_071500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_25_202504_CA33/CB647E8D_20250419_080500.WAV,./Calima/Validation_1to5/random100_perch/Vireo_olivaceus/1387807_CB647E8D_20250419_080500.flac,15,20,Vireo olivaceus,0.015123989,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250419_080500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_25_202506_CA33/CB647E8D_20250611_045500.WAV,./Calima/Validation_1to5/random100_perch/Grallaria_saturata/2580083_CB647E8D_20250611_045500.flac,35,40,Grallaria saturata,0.16924897,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250611_045500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_16_202506_CA25/019308C2_20250609_171000.WAV,./Calima/Validation_1to5/random100_perch/Empidonax_alnorum/2171223_019308C2_20250609_171000.flac,10,15,Empidonax alnorum,0.053519674,3.96591,-76.50415,Calima,Ensueno,16,Darien,20250609_171000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_26_202504_CA32/A6FA48B1_20250416_061500.WAV,./Calima/Validation_1to5/random100_perch/Empidonax_alnorum/1421381_A6FA48B1_20250416_061500.flac,15,20,Empidonax alnorum,0.03264981,4.016158,-76.475501,Calima,ElTesoro,26,Darien,20250416_061500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_20_202505_CA3/660E9F11_20250523_040000.WAV,./Calima/Validation_1to5/random100_perch/Scytalopus_vicinior/1877686_660E9F11_20250523_040000.flac,15,20,Scytalopus vicinior,0.032663446,4.01164,-76.47372,Calima,ElTesoro,20,Darien,20250523_040000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_17_202502_CA26/B45B64F7_20250222_153000.WAV,./Calima/Validation_1to5/random100_perch/Dysithamnus_occidentalis/475930_B45B64F7_20250222_153000.flac,0,5,Dysithamnus occidentalis,0.13804111,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250222_153000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_18_202502_CA28/3B983DB7_20250219_151500.WAV,./Calima/Validation_1to5/random100_perch/Contopus_sordidulus/539321_3B983DB7_20250219_151500.flac,40,45,Contopus sordidulus,0.14160836,4.04101,-76.41603,Calima,Natilla,18,Darien,20250219_151500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_21_202506_CA8/85926BE7_20250626_114500.WAV,./Calima/Validation_1to5/random100_perch/Chlorospingus_semifuscus/2429520_85926BE7_20250626_114500.flac,10,15,Chlorospingus semifuscus,0.041923076,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250626_114500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_17_202507_CA26/B45B64F7_20250701_070500.WAV,./Calima/Validation_1to5/random100_perch/Grallaria_flavotincta/2243911_B45B64F7_20250701_070500.flac,30,35,Grallaria flavotincta,0.043621946,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250701_070500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_5_202501_CA4/9BB2C176_20250121_164000.WAV,./Calima/Validation_1to5/random100_perch/Chaetura_pelagica/143794_9BB2C176_20250121_164000.flac,5,10,Chaetura pelagica,0.060475487,,,Calima,Tesoro,5,Darien,20250121_114000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_21_202505_CA8/85926BE7_20250526_194500.WAV,./Calima/Validation_1to5/random100_perch/Lurocalis_semitorquatus/1915975_85926BE7_20250526_194500.flac,30,35,Lurocalis semitorquatus,0.020301653,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250526_194500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_17_202504_CA26/B45B64F7_20250405_094000.WAV,./Calima/Validation_1to5/random100_perch/Vireo_olivaceus/1116655_B45B64F7_20250405_094000.flac,10,15,Vireo olivaceus,0.04137208,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250405_094000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_1_202411_CA3/660E9F11_20241118_225000.WAV,./Calima/Validation_1to5/random100_perch/Pandion_haliaetus/7237_660E9F11_20241118_225000.flac,25,30,Pandion haliaetus,0.070460536,3.965702,-76.502422,Calima,Ensueno,1,Darien,20241118_175000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_3_202412_CA3/660E9F11_20241219_123000.WAV,./Calima/Validation_1to5/random100_perch/Hirundo_rustica/47296_660E9F11_20241219_123000.flac,5,10,Hirundo rustica,0.08002149,3.908712,-76.605568,Calima,RioBravo,3,Darien,20241219_073000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_17_202505_CA26/B45B64F7_20250524_145500.WAV,./Calima/Validation_1to5/random100_perch/Catharus_minimus/1805067_B45B64F7_20250524_145500.flac,25,30,Catharus minimus,0.020773519,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250524_145500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_16_202504_CA25/019308C2_20250410_095500.WAV,./Calima/Validation_1to5/random100_perch/Antrostomus_carolinensis/1070342_019308C2_20250410_095500.flac,35,40,Antrostomus carolinensis,0.07284683,3.96591,-76.50415,Calima,Ensueno,16,Darien,20250410_095500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_27_202504_CA6/352F4986_20250410_121500.WAV,./Calima/Validation_1to5/random100_perch/Empidonax_alnorum/1480575_352F4986_20250410_121500.flac,35,40,Empidonax alnorum,0.028629417,3.911739,-76.607379,Calima,RioBravo,27,Darien,20250410_121500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_21_202504_CA8/85926BE7_20250409_161000.WAV,./Calima/Validation_1to5/random100_perch/Aburria_aburri/1243016_85926BE7_20250409_161000.flac,55,60,Aburria aburri,0.022043163,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250409_161000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_14_202502_M2/1E57904A_20250215_082000.WAV,./Calima/Validation_1to5/random100_perch/Vermivora_chrysoptera/258032_1E57904A_20250215_082000.flac,45,50,Vermivora chrysoptera,0.12108813,3.96468,-76.50728,Calima,Ensueno,14,Darien,20250215_082000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_27_202504_CA6/352F4986_20250415_182000.WAV,./Calima/Validation_1to5/random100_perch/Lophostrix_cristata/1492964_352F4986_20250415_182000.flac,5,10,Lophostrix cristata,0.024892168,3.911739,-76.607379,Calima,RioBravo,27,Darien,20250415_182000,audiomoth,Jimena Benavides,unknown
