startTime,endTime,speciesName,confidence,mediaID,recorderID,deploymentGroups,projectName,latitude,longitude,deploymentStart,deploymentEnd
12.0,15.0,Zebrilus undulatus,0.2945,G6421_20240218_203000.WAV,G6421,season t1,GEOPARK_PUTUMAYO_2024,0.480966,-76.318115,2024-02-08,2024-03-02
12.0,15.0,Ciccaba virgata,0.1641,G6406_20240302_003000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
9.0,12.0,Piaya melanogaster,0.1812,G6437_20240225_133000.WAV,G6437,season t1,GEOPARK_PUTUMAYO_2024,0.485901,-76.316377,2024-02-09,2024-03-02
36.0,39.0,Heliomaster longirostris,0.1013,G6408_20240301_040000.WAV,G6408,season t1,GEOPARK_PUTUMAYO_2024,0.484805,-76.317756,2024-02-08,2024-03-02
18.0,21.0,Zebrilus undulatus,0.4459,G6403_20240211_193000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
36.0,39.0,Nyctibius grandis,0.1191,G6414_20240229_003000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
57.0,60.0,Zebrilus undulatus,0.3731,G6455_20240221_203000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
36.0,39.0,Zebrilus undulatus,0.1269,G6429_20240218_203000.WAV,G6429,season t1,GEOPARK_PUTUMAYO_2024,0.484917,-76.325309,2024-02-09,2024-03-02
54.0,57.0,Heliomaster longirostris,0.359,G6464_20240222_213000.WAV,G6464,season t1,GEOPARK_PUTUMAYO_2024,0.483653,-76.316732,2024-02-09,2024-03-02
24.0,27.0,Piaya melanogaster,0.1758,G6455_20240221_170000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
6.0,9.0,Heliomaster longirostris,0.6777,G6376_20240226_190000.WAV,G6376,season t1,GEOPARK_PUTUMAYO_2024,0.481171,-76.322907,2024-02-08,2024-03-02
30.0,33.0,Lurocalis semitorquatus,0.1175,G6421_20240216_193000.WAV,G6421,season t1,GEOPARK_PUTUMAYO_2024,0.480966,-76.318115,2024-02-08,2024-03-02
45.0,48.0,Pulsatrix perspicillata,0.1645,G6383_20240218_230000.WAV,G6383,season t1,GEOPARK_PUTUMAYO_2024,0.496405,-76.325589,2024-02-11,2024-03-03
24.0,27.0,Ciccaba virgata,0.201,G6467_20240219_020000.WAV,G6467,season t1,GEOPARK_PUTUMAYO_2024,0.504661,-76.324227,2024-02-12,2024-03-02
21.0,24.0,Zebrilus undulatus,0.1038,G6419_20240215_163000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
39.0,42.0,Rupornis magnirostris,0.1574,G6408_20240209_160000.WAV,G6408,season t1,GEOPARK_PUTUMAYO_2024,0.484805,-76.317756,2024-02-08,2024-03-02
6.0,9.0,Pulsatrix perspicillata,0.1262,G6418_20240218_193000.WAV,G6418,season t1,GEOPARK_PUTUMAYO_2024,0.50345,-76.322483,2024-02-12,2024-03-02
45.0,48.0,Zebrilus undulatus,0.468,G6403_20240228_213000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
21.0,24.0,Steatornis caripensis,0.1709,G6468_20240207_180000.WAV,G6468,season t1,GEOPARK_PUTUMAYO_2024,0.468108,-76.32182,2024-02-07,2024-03-02
21.0,24.0,Heliomaster longirostris,0.1254,G6437_20240221_213000.WAV,G6437,season t1,GEOPARK_PUTUMAYO_2024,0.485901,-76.316377,2024-02-09,2024-03-02
0.0,3.0,Pulsatrix perspicillata,0.1452,G6395_20240226_210000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
27.0,30.0,Zebrilus undulatus,0.7337,G6383_20240219_190000.WAV,G6383,season t1,GEOPARK_PUTUMAYO_2024,0.496405,-76.325589,2024-02-11,2024-03-03
24.0,27.0,Zebrilus undulatus,0.1008,G6383_20240227_190000.WAV,G6383,season t1,GEOPARK_PUTUMAYO_2024,0.496405,-76.325589,2024-02-11,2024-03-03
15.0,18.0,Lophostrix cristata,0.1339,G6467_20240221_050000.WAV,G6467,season t1,GEOPARK_PUTUMAYO_2024,0.504661,-76.324227,2024-02-12,2024-03-02
21.0,24.0,Ciccaba huhula,0.1065,G6465_20240228_233000.WAV,G6465,season t1,GEOPARK_PUTUMAYO_2024,0.499758,-76.321538,2024-02-13,2024-03-02
51.0,54.0,Myrmothera campanisona,0.1317,G6376_20240229_163000.WAV,G6376,season t1,GEOPARK_PUTUMAYO_2024,0.481171,-76.322907,2024-02-08,2024-03-02
42.0,45.0,Pulsatrix perspicillata,0.1048,G6403_20240225_213000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
15.0,18.0,Zebrilus undulatus,0.5356,G6455_20240207_193000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
0.0,3.0,Crypturellus undulatus,0.1012,G6370_20240226_070000.WAV,G6370,season t1,GEOPARK_PUTUMAYO_2024,0.501763,-76.323853,2024-02-12,2024-03-02
3.0,6.0,Glaucidium brasilianum,0.7189,G6428_20240228_053000.WAV,G6428,season t1,GEOPARK_PUTUMAYO_2024,0.5002,-76.325689,2024-02-13,2024-03-02
39.0,42.0,Nothocrax urumutum,0.1261,G6419_20240212_230000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
18.0,21.0,Nyctidromus albicollis,0.1604,G6414_20240223_200000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
39.0,42.0,Pulsatrix perspicillata,0.12,G6398_20240226_003000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
12.0,15.0,Crypturellus soui,0.1096,G6455_20240220_060000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
15.0,18.0,Pulsatrix perspicillata,0.1635,G6403_20240228_220000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
54.0,57.0,Turdus hauxwelli,0.1017,G6455_20240213_050000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
