filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue3/Punto_16_202503_CA24/2MM05373_20250306_152000.wav,2MM05373_20250306_152000.wav,15,18,Ammodramus savannarum,0.4182,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-06 15:20:00,537110_2MM05373_20250306_152000.wav,4
D:/Despliegue3/Punto_16_202503_CA24/2MM05373_20250306_152500.wav,2MM05373_20250306_152500.wav,30,33,Ammodramus savannarum,0.4685,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-06 15:25:00,537115_2MM05373_20250306_152500.wav,4
D:/Despliegue4/Punto_15_202506_CA23/2MM05319_20250602_131500.wav,2MM05319_20250602_131500.wav,57,60,Ammodramus savannarum,0.4877,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-06-01,2025-06-08,Despliegue4,2025-06-02 13:15:00,1011977_2MM05319_20250602_131500.wav,4
D:/Despliegue4/Punto_15_202506_CA23/2MM05319_20250602_123500.wav,2MM05319_20250602_123500.wav,39,42,Ammodramus savannarum,0.4775,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-06-01,2025-06-08,Despliegue4,2025-06-02 12:35:00,1011909_2MM05319_20250602_123500.wav,4
D:/Despliegue4/Punto_12_202506_CA21/2MM05035_20250611_115500.wav,2MM05035_20250611_115500.wav,6,9,Ammodramus savannarum,0.4044,,2MM05035,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30379,-78.10975,FELCA & Audubon LAC,2025-06-01,2025-06-15,Despliegue4,2025-06-11 11:55:00,916347_2MM05035_20250611_115500.wav,4
D:/Despliegue3/Punto_15_202503_CA23/2MM05319_20250308_120500.wav,2MM05319_20250308_120500.wav,9,12,Ammodramus savannarum,0.5388,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-08 12:05:00,506836_2MM05319_20250308_120500.wav,4
D:/Despliegue2/Punto_14_202502_CA22/2MM05001_20250209_130500.wav,2MM05001_20250209_130500.wav,18,21,Ammodramus savannarum,0.7286,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-02-01,2025-02-12,Despliegue2,2025-02-09 13:05:00,129808_2MM05001_20250209_130500.wav,4
D:/Despliegue5/Punto_9_202508_CA10/2MM05004_20250824_105500.wav,2MM05004_20250824_105500.wav,21,24,Ammodramus savannarum,0.4356,,2MM05004,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28504,-78.08953,FELCA & Audubon LAC,2025-08-09,2025-08-27,Despliegue5,2025-08-24 10:55:00,1444421_2MM05004_20250824_105500.wav,4
D:/Despliegue2/Punto_15_202501_CA23/2MM05319_20250122_143500.wav,2MM05319_20250122_143500.wav,0,3,Ammodramus savannarum,0.7371,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-01-11,2025-01-31,Despliegue2,2025-01-22 14:35:00,142176_2MM05319_20250122_143500.wav,4
D:/Despliegue4/Punto_13_202505_CA20/2MM05255_20250521_144000.wav,2MM05255_20250521_144000.wav,15,18,Ammodramus savannarum,0.7083,,2MM05255,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30516,-78.1109,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-21 14:40:00,928544_2MM05255_20250521_144000.wav,4
