filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue2/Punto_5_202501_CA18/2MM05070_20250123_180000.wav,2MM05070_20250123_180000.wav,27,30,Galbula pastazae,0.2536,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-23 18:00:00,274611_2MM05070_20250123_180000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250605_144500.wav,2MM05070_20250605_144500.wav,36,39,Galbula pastazae,0.3968,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-05 14:45:00,1156176_2MM05070_20250605_144500.wav,4
D:/Despliegue2/Punto_5_202501_CA18/2MM05070_20250121_092000.wav,2MM05070_20250121_092000.wav,6,9,Galbula pastazae,0.3439,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-21 09:20:00,271300_2MM05070_20250121_092000.wav,4
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250330_153000.wav,2MM05070_20250330_153000.wav,21,24,Galbula pastazae,0.3373,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-30 15:30:00,709181_2MM05070_20250330_153000.wav,4
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250322_123500.wav,2MM05070_20250322_123500.wav,0,3,Galbula pastazae,0.2799,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-22 12:35:00,700454_2MM05070_20250322_123500.wav,4
D:/Despliegue2/Punto_5_202501_CA18/2MM05070_20250123_180000.wav,2MM05070_20250123_180000.wav,18,21,Galbula pastazae,0.4411,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-23 18:00:00,274608_2MM05070_20250123_180000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250605_145500.wav,2MM05070_20250605_145500.wav,36,39,Galbula pastazae,0.3104,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-05 14:55:00,1156192_2MM05070_20250605_145500.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250614_150000.wav,2MM05070_20250614_150000.wav,48,51,Galbula pastazae,0.2826,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-14 15:00:00,1164642_2MM05070_20250614_150000.wav,4
D:/Despliegue2/Punto_5_202501_CA18/2MM05070_20250121_092000.wav,2MM05070_20250121_092000.wav,0,3,Galbula pastazae,0.3328,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-21 09:20:00,271299_2MM05070_20250121_092000.wav,4
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250315_145000.wav,2MM05070_20250315_145000.wav,12,15,Galbula pastazae,0.3392,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-15 14:50:00,690765_2MM05070_20250315_145000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250605_144500.wav,2MM05070_20250605_144500.wav,54,57,Galbula pastazae,0.4322,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-05 14:45:00,1156180_2MM05070_20250605_144500.wav,4
