filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue3/Punto_2_202504_CA16/2MM05272_20250401_055000.wav,2MM05272_20250401_055000.wav,6,9,Glaucidium nubicola,0.9894,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-04-01,2025-04-01,Despliegue3,2025-04-01 05:50:00,611655_2MM05272_20250401_055000.wav,4
D:/Despliegue4/Punto_5_202505_CA18/2MM05070_20250524_061500.wav,2MM05070_20250524_061500.wav,57,60,Glaucidium nubicola,0.91,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-24 06:15:00,1143362_2MM05070_20250524_061500.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250130_182500.wav,2MM05272_20250130_182500.wav,39,42,Glaucidium nubicola,0.9548,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-30 18:25:00,210947_2MM05272_20250130_182500.wav,4
D:/Despliegue2/Punto_3_202501_CA17/2MM05073_20250123_185000.wav,2MM05073_20250123_185000.wav,12,15,Glaucidium nubicola,0.9248,,2MM05073,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28675,-78.07633,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-23 18:50:00,227132_2MM05073_20250123_185000.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250124_055000.wav,2MM05272_20250124_055000.wav,48,51,Glaucidium nubicola,0.9014,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-24 05:50:00,204474_2MM05272_20250124_055000.wav,4
D:/Despliegue4/Punto_6_202506_CA19/2MM05041_20250606_065500.wav,2MM05041_20250606_065500.wav,21,24,Glaucidium nubicola,0.9813,,2MM05041,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28463,-78.08236,FELCA & Audubon LAC,2025-06-01,2025-06-13,Despliegue4,2025-06-06 06:55:00,1198733_2MM05041_20250606_065500.wav,4
D:/Despliegue3/Punto_2_202504_CA16/2MM05272_20250401_081500.wav,2MM05272_20250401_081500.wav,39,42,Glaucidium nubicola,0.9274,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-04-01,2025-04-01,Despliegue3,2025-04-01 08:15:00,611849_2MM05272_20250401_081500.wav,4
D:/Despliegue4/Punto_6_202506_CA19/2MM05041_20250611_095000.wav,2MM05041_20250611_095000.wav,27,30,Glaucidium nubicola,0.8904,,2MM05041,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28463,-78.08236,FELCA & Audubon LAC,2025-06-01,2025-06-13,Despliegue4,2025-06-11 09:50:00,1206364_2MM05041_20250611_095000.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250121_185000.wav,2MM05272_20250121_185000.wav,33,36,Glaucidium nubicola,0.9404,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-21 18:50:00,201648_2MM05272_20250121_185000.wav,4
D:/Despliegue4/Punto_5_202505_CA18/2MM05070_20250519_140500.wav,2MM05070_20250519_140500.wav,0,3,Glaucidium nubicola,0.9018,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-19 14:05:00,1138501_2MM05070_20250519_140500.wav,4
