filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue5/Punto_18_202508_CA38/2MM06677_20250823_050500.wav,2MM06677_20250823_050500.wav,3,6,Hypopyrrhus pyrohypogaster,0.2634,,2MM06677,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30752,-78.10858,FELCA & Audubon LAC,2025-08-10,2025-08-27,Despliegue5,2025-08-23 05:05:00,1340613_2MM06677_20250823_050500.wav,4
D:/Despliegue3/Punto_3_202504_CA17/2MM05073_20250401_175500.wav,2MM05073_20250401_175500.wav,0,3,Hypopyrrhus pyrohypogaster,0.246,,2MM05073,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28675,-78.07633,FELCA & Audubon LAC,2025-04-01,2025-04-02,Despliegue3,2025-04-01 17:55:00,646752_2MM05073_20250401_175500.wav,4
D:/Despliegue3/Punto_4_202503_CA15/2MM04976_20250316_054500.wav,2MM04976_20250316_054500.wav,27,30,Hypopyrrhus pyrohypogaster,0.4099,,2MM04976,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28659,-78.07804,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-16 05:45:00,658594_2MM04976_20250316_054500.wav,4
D:/Despliegue4/Punto_5_202505_CA18/2MM05070_20250527_110000.wav,2MM05070_20250527_110000.wav,27,30,Hypopyrrhus pyrohypogaster,0.3889,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-27 11:00:00,1146901_2MM05070_20250527_110000.wav,4
D:/Despliegue5/Punto_18_202508_CA38/2MM06677_20250820_051500.wav,2MM06677_20250820_051500.wav,42,45,Hypopyrrhus pyrohypogaster,0.3248,,2MM06677,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30752,-78.10858,FELCA & Audubon LAC,2025-08-10,2025-08-27,Despliegue5,2025-08-20 05:15:00,1338818_2MM06677_20250820_051500.wav,4
D:/Despliegue3/Punto_12_202503_CA21/2MM05035_20250322_142500.wav,2MM05035_20250322_142500.wav,48,51,Hypopyrrhus pyrohypogaster,0.5598,,2MM05035,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30379,-78.10975,FELCA & Audubon LAC,2025-03-04,2025-03-28,Despliegue3,2025-03-22 14:25:00,457971_2MM05035_20250322_142500.wav,4
D:/Despliegue5/Punto_18_202508_CA38/2MM06677_20250820_103500.wav,2MM06677_20250820_103500.wav,21,24,Hypopyrrhus pyrohypogaster,0.2624,,2MM06677,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30752,-78.10858,FELCA & Audubon LAC,2025-08-10,2025-08-27,Despliegue5,2025-08-20 10:35:00,1339095_2MM06677_20250820_103500.wav,4
D:/Despliegue4/Punto_5_202505_CA18/2MM05070_20250527_110000.wav,2MM05070_20250527_110000.wav,33,36,Hypopyrrhus pyrohypogaster,0.3386,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-27 11:00:00,1146903_2MM05070_20250527_110000.wav,4
D:/Despliegue5/Punto_18_202506_CA38/2MM06677_20250615_051000.wav,2MM06677_20250615_051000.wav,27,30,Hypopyrrhus pyrohypogaster,0.3188,,2MM06677,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30752,-78.10858,FELCA & Audubon LAC,2025-06-13,2025-06-15,Despliegue5,2025-06-15 05:10:00,1333517_2MM06677_20250615_051000.wav,4
D:/Despliegue3/Punto_4_202503_CA15/2MM04976_20250316_102000.wav,2MM04976_20250316_102000.wav,30,33,Hypopyrrhus pyrohypogaster,0.3517,,2MM04976,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28659,-78.07804,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-16 10:20:00,659045_2MM04976_20250316_102000.wav,4
