filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue3/Punto_9_202503_CA10/2MM05004_20250322_082500.wav,2MM05004_20250322_082500.wav,42,45,Pyroderus scutatus,0.5771,,2MM05004,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28504,-78.08953,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-22 08:25:00,834333_2MM05004_20250322_082500.wav,4
D:/Despliegue3/Punto_8_202503_CA12/2MM05314_20250322_082500.wav,2MM05314_20250322_082500.wav,45,48,Pyroderus scutatus,0.7534,,2MM05314,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28458,-78.08793,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-22 08:25:00,809420_2MM05314_20250322_082500.wav,4
D:/Despliegue4/Punto_11_202505_CA11/2MM05078_20250519_161000.wav,2MM05078_20250519_161000.wav,39,42,Pyroderus scutatus,0.5253,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-19 16:10:00,847564_2MM05078_20250519_161000.wav,4
D:/Despliegue2/Punto_11_202502_CA11/2MM05078_20250207_063500.wav,2MM05078_20250207_063500.wav,6,9,Pyroderus scutatus,0.6942,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-02-01,2025-02-07,Despliegue2,2025-02-07 06:35:00,48783_2MM05078_20250207_063500.wav,4
D:/Despliegue2/Punto_14_202501_CA22/2MM05001_20250130_134000.wav,2MM05001_20250130_134000.wav,33,36,Pyroderus scutatus,0.6982,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-01-11,2025-01-31,Despliegue2,2025-01-30 13:40:00,118569_2MM05001_20250130_134000.wav,4
D:/Despliegue5/Punto_7_202508_CA13/2MM05071_20250816_091500.wav,2MM05071_20250816_091500.wav,42,45,Pyroderus scutatus,0.5133,,2MM05071,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28421,-78.08459,FELCA & Audubon LAC,2025-08-09,2025-08-28,Despliegue5,2025-08-16 09:15:00,1414370_2MM05071_20250816_091500.wav,4
D:/Despliegue4/Punto_11_202506_CA11/2MM05078_20250605_140500.wav,2MM05078_20250605_140500.wav,21,24,Pyroderus scutatus,0.4886,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-06-01,2025-06-15,Despliegue4,2025-06-05 14:05:00,865532_2MM05078_20250605_140500.wav,4
D:/Despliegue4/Punto_12_202505_CA21/2MM05035_20250520_131500.wav,2MM05035_20250520_131500.wav,39,42,Pyroderus scutatus,0.5374,,2MM05035,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30379,-78.10975,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-20 13:15:00,883873_2MM05035_20250520_131500.wav,4
D:/Despliegue3/Punto_14_202503_CA22/2MM05001_20250312_133000.wav,2MM05001_20250312_133000.wav,3,6,Pyroderus scutatus,0.6606,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-03-04,2025-03-30,Despliegue3,2025-03-12 13:30:00,477431_2MM05001_20250312_133000.wav,4
D:/Despliegue3/Punto_11_202503_CA11/2MM05078_20250322_082500.wav,2MM05078_20250322_082500.wav,42,45,Pyroderus scutatus,0.6735,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-03-04,2025-03-22,Despliegue3,2025-03-22 08:25:00,438830_2MM05078_20250322_082500.wav,4
