filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue3/Punto_16_202503_CA24/2MM05373_20250323_095000.wav,2MM05373_20250323_095000.wav,9,12,Vireo masteri,0.9834,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-23 09:50:00,553253_2MM05373_20250323_095000.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250117_122000.wav,2MM05272_20250117_122000.wav,12,15,Vireo masteri,0.9615,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-17 12:20:00,197790_2MM05272_20250117_122000.wav,4
D:/Despliegue2/Punto_16_202501_CA24/2MM05373_20250112_113000.wav,2MM05373_20250112_113000.wav,51,54,Vireo masteri,0.907,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-01-11,2025-01-31,Despliegue2,2025-01-12 11:30:00,166925_2MM05373_20250112_113000.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250122_062500.wav,2MM05272_20250122_062500.wav,0,3,Vireo masteri,0.8941,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-22 06:25:00,201923_2MM05272_20250122_062500.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250124_112000.wav,2MM05272_20250124_112000.wav,30,33,Vireo masteri,0.9327,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-24 11:20:00,204929_2MM05272_20250124_112000.wav,4
D:/Despliegue2/Punto_16_202501_CA24/2MM05373_20250112_112500.wav,2MM05373_20250112_112500.wav,9,12,Vireo masteri,0.9409,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-01-11,2025-01-31,Despliegue2,2025-01-12 11:25:00,166902_2MM05373_20250112_112500.wav,4
D:/Despliegue3/Punto_16_202503_CA24/2MM05373_20250321_100500.wav,2MM05373_20250321_100500.wav,6,9,Vireo masteri,0.9978,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-21 10:05:00,551042_2MM05373_20250321_100500.wav,4
D:/Despliegue2/Punto_2_202502_CA16/2MM05272_20250203_134000.wav,2MM05272_20250203_134000.wav,9,12,Vireo masteri,0.967,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-02-01,2025-02-04,Despliegue2,2025-02-03 13:40:00,214587_2MM05272_20250203_134000.wav,4
D:/Despliegue3/Punto_2_202503_CA16/2MM05272_20250316_063500.wav,2MM05272_20250316_063500.wav,12,15,Vireo masteri,0.9764,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-16 06:35:00,598480_2MM05272_20250316_063500.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250111_075500.wav,2MM05272_20250111_075500.wav,39,42,Vireo masteri,0.9655,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-11 07:55:00,194186_2MM05272_20250111_075500.wav,4
D:/Despliegue2/Punto_2_202501_CA16/2MM05272_20250122_064000.wav,2MM05272_20250122_064000.wav,9,12,Vireo masteri,0.9088,,2MM05272,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28466,-78.07431,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-22 06:40:00,201944_2MM05272_20250122_064000.wav,4
