Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-22	2MM05319		0	3	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-02-09	2MM05001		18	21	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-21	2MM05255		15	18	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-02-07	2MM05001		24	27	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-08	2MM05319		9	12	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-06-02	2MM05319		57	60	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-06-02	2MM05319		39	42	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		30	33	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-08-24	2MM05004		21	24	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		15	18	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-06-11	2MM05035		6	9	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		3	6	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-28	2MM05004		51	54	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-15	2MM05373		57	60	NA	NA	NA	0	NA
15	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		30	33	NA	NA	NA	0	NA
16	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-18	2MM05004		12	15	NA	NA	NA	0	NA
17	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-06-02	2MM05319		30	33	NA	NA	NA	0	NA
18	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		45	48	NA	NA	NA	0	NA
19	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-16	2MM05035		51	54	NA	NA	NA	0	NA
20	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-22	2MM05255		3	6	NA	NA	NA	0	NA
21	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		54	57	NA	NA	NA	0	NA
22	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-28	2MM05004		6	9	NA	NA	NA	0	NA
23	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-23	2MM05035		36	39	NA	NA	NA	0	NA
24	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-07	2MM05001		12	15	NA	NA	NA	0	NA
25	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-08	2MM05373		6	9	NA	NA	NA	0	NA
26	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-12	2MM05319		18	21	NA	NA	NA	0	NA
27	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-25	2MM05035		9	12	NA	NA	NA	0	NA
28	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-21	2MM05001		15	18	NA	NA	NA	0	NA
29	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		24	27	NA	NA	NA	0	NA
30	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		36	39	NA	NA	NA	0	NA
31	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-07	2MM05319		0	3	NA	NA	NA	0	NA
32	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-17	2MM05373		48	51	NA	NA	NA	0	NA
33	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		9	12	NA	NA	NA	0	NA
34	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-06	2MM05373		54	57	NA	NA	NA	0	NA
35	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-31	2MM05004		57	60	NA	NA	NA	0	NA
36	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-21	2MM06671		12	15	NA	NA	NA	0	NA
37	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-26	2MM05073		45	48	NA	NA	NA	0	NA
38	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-23	2MM05004		9	12	NA	NA	NA	0	NA
39	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-27	2MM05373		33	36	NA	NA	NA	0	NA
40	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-05-21	2MM05001		24	27	NA	NA	NA	0	NA
41	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-15	2MM05035		45	48	NA	NA	NA	0	NA
42	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-08-23	2MM06677		0	3	NA	NA	NA	0	NA
43	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-21	2MM05001		24	27	NA	NA	NA	0	NA
44	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-15	2MM05035		54	57	NA	NA	NA	0	NA
45	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-08-22	2MM05004		45	48	NA	NA	NA	0	NA
46	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-06-09	2MM06671		15	18	NA	NA	NA	0	NA
47	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-01-22	2MM05319		6	9	NA	NA	NA	0	NA
48	Spectrogram 1	1	0		0	Grasshopper Sparrow	Ammodramus savannarum	2025-03-25	2MM05035		15	18	NA	NA	NA	0	NA
