Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-08-13	2MM04976	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Henicorhina_negreti/1368875_2MM04976_20250813_074500.wav	54	57	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-03	2MM06671	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Henicorhina_negreti/562673_2MM06671_20250303_103500.wav	30	33	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-28	2MM05035	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Henicorhina_negreti/65824_2MM05035_20250128_130500.wav	39	42	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-05	2MM06671	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Henicorhina_negreti/564417_2MM06671_20250305_164500.wav	18	21	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-30	2MM05001	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Henicorhina_negreti/972828_2MM05001_20250530_110500.wav	18	21	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-02	2MM05035		54	57	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-31	2MM06671		9	12	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-28	2MM05373		36	39	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-07	2MM05035		12	15	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-23	2MM05255		51	54	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-31	2MM05035		21	24	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-18	2MM05035		3	6	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-05	2MM05255		15	18	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-11	2MM05071		42	45	NA	NA	NA	0	NA
15	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-01	2MM05255		39	42	NA	NA	NA	0	NA
16	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-01	2MM05255		36	39	NA	NA	NA	0	NA
17	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-16	2MM05001		45	48	NA	NA	NA	0	NA
18	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-05	2MM05255		12	15	NA	NA	NA	0	NA
19	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-02	2MM05001		42	45	NA	NA	NA	0	NA
20	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-02	2MM05001		36	39	NA	NA	NA	0	NA
21	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-25	2MM05001		57	60	NA	NA	NA	0	NA
22	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-15	2MM05319		45	48	NA	NA	NA	0	NA
23	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-23	2MM06671		0	3	NA	NA	NA	0	NA
24	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-01	2MM05255		33	36	NA	NA	NA	0	NA
25	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-12	2MM05073		54	57	NA	NA	NA	0	NA
26	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-26	2MM05001		3	6	NA	NA	NA	0	NA
27	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-05	2MM05078		54	57	NA	NA	NA	0	NA
28	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-30	2MM05070		0	3	NA	NA	NA	0	NA
29	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-30	2MM05035		15	18	NA	NA	NA	0	NA
30	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-08-23	2MM04976		18	21	NA	NA	NA	0	NA
31	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-24	2MM05070		21	24	NA	NA	NA	0	NA
32	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-06	2MM05004		21	24	NA	NA	NA	0	NA
33	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-25	2MM05319		9	12	NA	NA	NA	0	NA
34	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-11	2MM05001		21	24	NA	NA	NA	0	NA
35	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-05	2MM05255		0	3	NA	NA	NA	0	NA
36	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-04-01	2MM05070		15	18	NA	NA	NA	0	NA
37	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-16	2MM05255		33	36	NA	NA	NA	0	NA
38	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-30	2MM05319		33	36	NA	NA	NA	0	NA
39	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-06-07	2MM05255		42	45	NA	NA	NA	0	NA
40	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-08-28	2MM04976		12	15	NA	NA	NA	0	NA
41	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-02	2MM05001		18	21	NA	NA	NA	0	NA
42	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-25	2MM05078		9	12	NA	NA	NA	0	NA
43	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-31	2MM05272		0	3	NA	NA	NA	0	NA
44	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-13	2MM05035		15	18	NA	NA	NA	0	NA
45	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-03-03	2MM05070		3	6	NA	NA	NA	0	NA
46	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-02-04	2MM05272		3	6	NA	NA	NA	0	NA
47	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-01-27	2MM05355		54	57	NA	NA	NA	0	NA
48	Spectrogram 1	1	0		0	Munchique Wood Wren	Henicorhina negreti	2025-05-25	2MM05314		3	6	NA	NA	NA	0	NA
