Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-30	2MM05071	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Odontophorus_melanonotus/362417_2MM05071_20250130_070000.wav	33	36	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-20	2MM05071	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Odontophorus_melanonotus/348139_2MM05071_20250120_083000.wav	18	21	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-04-01	2MM05071	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Odontophorus_melanonotus/792152_2MM05071_20250401_063000.wav	27	30	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-24	2MM05071	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Odontophorus_melanonotus/781165_2MM05071_20250324_070500.wav	42	45	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-30	2MM05355	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Odontophorus_melanonotus/17642_2MM05355_20250130_070500.wav	0	3	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-22	2MM05071		21	24	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-20	2MM05041		15	18	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-31	2MM05041		3	6	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-31	2MM05041		0	3	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-22	2MM05319		30	33	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-23	2MM05314		33	36	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-27	2MM05070		0	3	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-24	2MM05071		24	27	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-27	2MM05314		18	21	NA	NA	NA	0	NA
15	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-25	2MM05071		0	3	NA	NA	NA	0	NA
16	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-19	2MM05071		45	48	NA	NA	NA	0	NA
17	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-06-01	2MM05314		21	24	NA	NA	NA	0	NA
18	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-29	2MM05355		36	39	NA	NA	NA	0	NA
19	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-21	2MM05070		54	57	NA	NA	NA	0	NA
20	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-21	2MM05071		51	54	NA	NA	NA	0	NA
21	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-20	2MM05071		57	60	NA	NA	NA	0	NA
22	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-18	2MM05071		15	18	NA	NA	NA	0	NA
23	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-21	2MM06671		33	36	NA	NA	NA	0	NA
24	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-02-04	2MM05272		39	42	NA	NA	NA	0	NA
25	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-04-01	2MM05071		0	3	NA	NA	NA	0	NA
26	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-30	2MM05071		42	45	NA	NA	NA	0	NA
27	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-22	2MM05319		36	39	NA	NA	NA	0	NA
28	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-18	2MM05071		39	42	NA	NA	NA	0	NA
29	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-23	2MM05314		0	3	NA	NA	NA	0	NA
30	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-30	2MM05071		15	18	NA	NA	NA	0	NA
31	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-27	2MM05314		45	48	NA	NA	NA	0	NA
32	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-21	2MM06671		30	33	NA	NA	NA	0	NA
33	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-24	2MM05071		33	36	NA	NA	NA	0	NA
34	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-20	2MM05071		45	48	NA	NA	NA	0	NA
35	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-26	2MM05071		15	18	NA	NA	NA	0	NA
36	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-06-01	2MM05314		18	21	NA	NA	NA	0	NA
37	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-19	2MM05071		33	36	NA	NA	NA	0	NA
38	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-20	2MM05041		30	33	NA	NA	NA	0	NA
39	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-01-30	2MM05071		48	51	NA	NA	NA	0	NA
40	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-18	2MM05071		21	24	NA	NA	NA	0	NA
41	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-25	2MM05071		12	15	NA	NA	NA	0	NA
42	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-17	2MM05041		3	6	NA	NA	NA	0	NA
43	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-04-01	2MM05272		51	54	NA	NA	NA	0	NA
44	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-24	2MM05041		9	12	NA	NA	NA	0	NA
45	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-03-24	2MM05071		36	39	NA	NA	NA	0	NA
46	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-06-02	2MM05272		30	33	NA	NA	NA	0	NA
47	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-05-21	2MM05070		51	54	NA	NA	NA	0	NA
48	Spectrogram 1	1	0		0	Dark-backed Wood Quail	Odontophorus melanonotus	2025-06-06	2MM05272		54	57	NA	NA	NA	0	NA
