Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-22	2MM05314		45	48	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-01-30	2MM05001		33	36	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-02-07	2MM05078		6	9	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-22	2MM05078		42	45	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-02-05	2MM05001		42	45	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-12	2MM05001		3	6	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-22	2MM05004		42	45	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-05-20	2MM05035		39	42	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-05-19	2MM05078		39	42	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-08-16	2MM05071		42	45	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-22	2MM05078		15	18	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-06-05	2MM05078		21	24	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-01-16	2MM05001		3	6	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-22	2MM05078		24	27	NA	NA	NA	0	NA
15	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-01-30	2MM05001		3	6	NA	NA	NA	0	NA
16	Spectrogram 1	1	0		0	Red-ruffed Fruitcrow	Pyroderus scutatus	2025-03-25	2MM05319		33	36	NA	NA	NA	0	NA
