Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-05-31	2MM05001	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/973580_2MM05001_20250531_061000.wav	51	54	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-05-31	2MM05001		54	57	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-03-08	2MM05001	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/470833_2MM05001_20250308_061500.wav	27	30	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-06-05	2MM05078	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/865338_2MM05078_20250605_094000.wav	18	21	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-06-02	2MM05078	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/861933_2MM05078_20250602_081500.wav	27	30	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-06-15	2MM05078	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/876414_2MM05078_20250615_110000.wav	33	36	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-08-22	2MM05314	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/1312974_2MM05314_20250822_065500.wav	18	21	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-05-27	2MM05078	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/855470_2MM05078_20250527_085000.wav	21	24	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-03-11	2MM05001	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Sericossypha_albocristata/475239_2MM05001_20250311_060500.wav	57	60	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-06-12	2MM05078		36	39	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-05-27	2MM05078		54	57	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-06-02	2MM05078		24	27	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-05-27	2MM05078		18	21	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	White-capped Tanager	Sericossypha albocristata	2025-03-29	2MM05073		0	3	NA	NA	NA	0	NA
