Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
1	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-21	2MM05373	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Vireo_masteri/551042_2MM05373_20250321_100500.wav	6	9	NA	NA	NA	0	NA
2	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-23	2MM05373	/Users/santiagoruiz/Downloads/Validation_1to5/top10_birdnet/Vireo_masteri/553253_2MM05373_20250323_095000.wav	9	12	NA	NA	NA	0	NA
3	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-16	2MM05272		12	15	NA	NA	NA	0	NA
4	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-02-03	2MM05272		9	12	NA	NA	NA	0	NA
5	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-11	2MM05272		39	42	NA	NA	NA	0	NA
6	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-17	2MM05272		12	15	NA	NA	NA	0	NA
7	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-12	2MM05373		9	12	NA	NA	NA	0	NA
8	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-24	2MM05272		30	33	NA	NA	NA	0	NA
9	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-22	2MM05272		9	12	NA	NA	NA	0	NA
10	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-12	2MM05373		51	54	NA	NA	NA	0	NA
11	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-22	2MM05272		0	3	NA	NA	NA	0	NA
12	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-10	2MM05373		27	30	NA	NA	NA	0	NA
13	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-09	2MM06671		57	60	NA	NA	NA	0	NA
14	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-20	2MM05272		6	9	NA	NA	NA	0	NA
15	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-16	2MM05272		39	42	NA	NA	NA	0	NA
16	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-23	2MM05373		30	33	NA	NA	NA	0	NA
17	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-12	2MM05373		0	3	NA	NA	NA	0	NA
18	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-02-04	2MM05272		15	18	NA	NA	NA	0	NA
19	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-06-05	2MM05272		57	60	NA	NA	NA	0	NA
20	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-01-12	2MM05373		57	60	NA	NA	NA	0	NA
21	Spectrogram 1	1	0		0	Choco Vireo	Vireo masteri	2025-03-25	2MM05272		39	42	NA	NA	NA	0	NA
