Secuencia2022,Orden2022,Familia2022,Nombre.2022,Estado2022,Actualización,Clements2024_English_Name,Clements2024_Scientific_Name,Nombre_IUCN_20250426,Nombre_IUCN_20251106,IUCN_category_20251106,IUCN_category_20250426,National_threat,Endemic,Range_restricted_062024,Austral_Migrant,Boreal_Migrant,Resident,Priority,Scientific_name_Clements2021,English_name_Clements2021
4,Tinamiformes,Tinamidae,Tinamus tao,Residente,,Gray Tinamou,Tinamus tao,Tinamus tao,Tinamus tao,VU,VU,,FALSE,FALSE,,,TRUE,1,Tinamus tao,Gray Tinamou
5,Tinamiformes,Tinamidae,Tinamus osgoodi,Residente,,Black Tinamou,Tinamus osgoodi,Tinamus osgoodi,Tinamus osgoodi,VU,VU,EN,FALSE,FALSE,,,TRUE,1,Tinamus osgoodi,Black Tinamou
11,Tinamiformes,Tinamidae,Crypturellus obsoletus,Residente,,Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus obsoletus,LC,LC,CR,FALSE,FALSE,,,TRUE,1,Crypturellus obsoletus,Brown Tinamou
15,Tinamiformes,Tinamidae,Crypturellus kerriae,Residente,,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae,NT,NT,VU,FALSE,TRUE,,,TRUE,1,Crypturellus kerriae,Choco Tinamou
21,Anseriformes,Anhimidae,Chauna chavaria,Residente,,Northern Screamer,Chauna chavaria,Chauna chavaria,Chauna chavaria,LC,LC,VU,FALSE,FALSE,,,TRUE,1,Chauna chavaria,Northern Screamer
25,Anseriformes,Anatidae,Oressochen jubatus,Residente,,Orinoco Goose,Oressochen jubatus,Neochen jubata,Neochen jubata,LC,NT,VU,FALSE,FALSE,,,TRUE,1,Oressochen jubatus,Orinoco Goose
27,Anseriformes,Anatidae,Sarkidiornis sylvicola,Residente,,Comb Duck,Sarkidiornis sylvicola,Sarkidiornis sylvicola,Sarkidiornis sylvicola,LC,LC,EN,FALSE,FALSE,,,TRUE,1,Sarkidiornis sylvicola,Comb Duck
34,Anseriformes,Anatidae,Spatula cyanoptera,Migratorio Boreal - Residente,,Cinnamon Teal,Spatula cyanoptera,Spatula cyanoptera,Spatula cyanoptera,LC,LC,EN,FALSE,FALSE,,TRUE,TRUE,1,Spatula cyanoptera,Cinnamon Teal
38,Anseriformes,Anatidae,Anas georgica,Residente,,Yellow-billed Pintail,Anas georgica,Anas georgica,Anas georgica,LC,LC,VU,FALSE,FALSE,,,TRUE,1,Anas georgica,Yellow-billed Pintail
42,Anseriformes,Anatidae,Netta erythrophthalma,Residente,,Southern Pochard,Netta erythrophthalma,Netta erythrophthalma,Netta erythrophthalma,LC,LC,CR,FALSE,FALSE,,,TRUE,1,Netta erythrophthalma,Southern Pochard
48,Anseriformes,Anatidae,Oxyura jamaicensis,Migratorio Boreal? - Residente,,Andean Duck,Oxyura ferruginea,Oxyura ferruginea,Oxyura ferruginea,LC,LC,EN,FALSE,FALSE,,Uncertain,TRUE,1,Oxyura ferruginea,Andean Duck
51,Galliformes,Cracidae,Penelope ortoni,Residente,,Baudo Guan,Penelope ortoni,Penelope ortoni,Penelope ortoni,EN,EN,VU,FALSE,FALSE,,,TRUE,1,Penelope ortoni,Baudo Guan
55,Galliformes,Cracidae,Penelope perspicax,Residente Endémica,,Cauca Guan,Penelope perspicax,Penelope perspicax,Penelope perspicax,VU,VU,EN,TRUE,TRUE,,,TRUE,1,Penelope perspicax,Cauca Guan
59,Galliformes,Cracidae,Ortalis garrula,Residente Endémica,,Chestnut-winged Chachalaca,Ortalis garrula,Ortalis garrula,Ortalis garrula,LC,LC,,TRUE,TRUE,,,TRUE,1,Ortalis garrula,Chestnut-winged Chachalaca
61,Galliformes,Cracidae,Ortalis erythroptera,Residente,,Rufous-headed Chachalaca,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,VU,VU,NT,FALSE,FALSE,,,TRUE,1,Ortalis erythroptera,Rufous-headed Chachalaca
62,Galliformes,Cracidae,Ortalis columbiana,Residente Endémica,,Colombian Chachalaca,Ortalis columbiana,Ortalis columbiana,Ortalis columbiana,LC,LC,,TRUE,FALSE,,,TRUE,1,Ortalis columbiana,Colombian Chachalaca
66,Galliformes,Cracidae,Crax rubra,Residente,,Great Curassow,Crax rubra,Crax rubra,Crax rubra,VU,VU,VU,FALSE,FALSE,,,TRUE,1,Crax rubra,Great Curassow
67,Galliformes,Cracidae,Crax alberti,Residente Endémica,,Blue-billed Curassow,Crax alberti,Crax alberti,Crax alberti,CR,CR,CR,TRUE,TRUE,,,TRUE,1,Crax alberti,Blue-billed Curassow
68,Galliformes,Cracidae,Crax daubentoni,Residente,,Yellow-knobbed Curassow,Crax daubentoni,Crax daubentoni,Crax daubentoni,NT,NT,EN,FALSE,FALSE,,,TRUE,1,Crax daubentoni,Yellow-knobbed Curassow
70,Galliformes,Cracidae,Crax globulosa,Residente,,Wattled Curassow,Crax globulosa,Crax globulosa,Crax globulosa,EN,EN,EN,FALSE,FALSE,,,TRUE,1,Crax globulosa,Wattled Curassow
74,Galliformes,Cracidae,Pauxi pauxi,Residente,,Helmeted Curassow,Pauxi pauxi,Pauxi pauxi,Pauxi pauxi,VU,VU,EN,FALSE,TRUE,,,TRUE,1,Pauxi pauxi,Helmeted Curassow
78,Galliformes,Odontophoridae,Odontophorus atrifrons,Residente,,Black-fronted Wood-Quail,Odontophorus atrifrons,Odontophorus atrifrons,Odontophorus atrifrons,LC,LC,NT,FALSE,TRUE,,,TRUE,1,Odontophorus atrifrons,Black-fronted Wood-Quail
80,Galliformes,Odontophoridae,Odontophorus hyperythrus,Residente Endémica,,Chestnut Wood-Quail,Odontophorus hyperythrus,Odontophorus hyperythrus,Odontophorus hyperythrus,LC,LC,,TRUE,TRUE,,,TRUE,1,Odontophorus hyperythrus,Chestnut Wood-Quail
81,Galliformes,Odontophoridae,Odontophorus melanonotus,Residente,,Dark-backed Wood-Quail,Odontophorus melanonotus,Odontophorus melanonotus,Odontophorus melanonotus,LC,LC,EN,FALSE,TRUE,,,TRUE,1,Odontophorus melanonotus,Dark-backed Wood-Quail
83,Galliformes,Odontophoridae,Odontophorus dialeucos,Residente,,Tacarcuna Wood-Quail,Odontophorus dialeucos,Odontophorus dialeucos,Odontophorus dialeucos,LC,LC,EN,FALSE,FALSE,,,TRUE,1,Odontophorus dialeucos,Tacarcuna Wood-Quail
84,Galliformes,Odontophoridae,Odontophorus strophium,Residente Endémica,,Gorgeted Wood-Quail,Odontophorus strophium,Odontophorus strophium,Odontophorus strophium,VU,VU,EN,TRUE,TRUE,,,TRUE,1,Odontophorus strophium,Gorgeted Wood-Quail
86,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus ruber,Residente,,American Flamingo,Phoenicopterus ruber,Phoenicopterus ruber,Phoenicopterus ruber,LC,LC,EN,FALSE,FALSE,,,TRUE,1,Phoenicopterus ruber,American Flamingo
90,Podicipediformes,Podicipedidae,Podiceps occipitalis,Residente,,Silvery Grebe,Podiceps occipitalis,Podiceps occipitalis,Podiceps occipitalis,LC,LC,CR,FALSE,FALSE,,,TRUE,1,Podiceps occipitalis,Silvery Grebe
101,Columbiformes,Columbidae,Geotrygon purpurata,Residente,,Purple Quail-Dove,Geotrygon purpurata,Geotrygon purpurata,Geotrygon purpurata,EN,EN,,FALSE,FALSE,,,TRUE,1,Geotrygon purpurata,Purple Quail-Dove
108,Columbiformes,Columbidae,Leptotila conoveri,Residente Endémica,,Tolima Dove,Leptotila conoveri,Leptotila conoveri,Leptotila conoveri,NT,NT,VU,TRUE,TRUE,,,TRUE,1,Leptotila conoveri,Tolima Dove
109,Columbiformes,Columbidae,Leptotila jamaicensis,Residente,,Caribbean Dove,Leptotila jamaicensis,Leptotila jamaicensis,Leptotila jamaicensis,LC,LC,CR,FALSE,FALSE,,,TRUE,1,Leptotila jamaicensis,Caribbean Dove
115,Columbiformes,Columbidae,Zentrygon goldmani,Residente,,Russet-crowned Quail-Dove,Zentrygon goldmani,Zentrygon goldmani,Zentrygon goldmani,NT,NT,VU,FALSE,TRUE,,,TRUE,1,Zentrygon goldmani,Russet-crowned Quail-Dove
135,Cuculiformes,Cuculidae,Neomorphus geoffroyi,Residente,,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,Neomorphus geoffroyi,Neomorphus geoffroyi,VU,VU,,FALSE,FALSE,,,TRUE,1,Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo
136,Cuculiformes,Cuculidae,Neomorphus radiolosus,Residente,,Banded Ground-Cuckoo,Neomorphus radiolosus,Neomorphus radiolosus,Neomorphus radiolosus,VU,VU,EN,FALSE,FALSE,,,TRUE,1,Neomorphus radiolosus,Banded Ground-Cuckoo
181,Apodiformes,Apodidae,Cypseloides niger,Migratorio Boreal,,Black Swift,Cypseloides niger,Cypseloides niger,Cypseloides niger,VU,VU,,FALSE,FALSE,,TRUE,,1,Cypseloides niger,Black Swift
182,Apodiformes,Apodidae,Cypseloides lemosi,Residente,,White-chested Swift,Cypseloides lemosi,Cypseloides lemosi,Cypseloides lemosi,LC,LC,DD,FALSE,TRUE,,,TRUE,1,Cypseloides lemosi,White-chested Swift
188,Apodiformes,Apodidae,Chaetura pelagica,Migratorio Boreal,,Chimney Swift,Chaetura pelagica,Chaetura pelagica,Chaetura pelagica,VU,VU,,FALSE,FALSE,,TRUE,,1,Chaetura pelagica,Chimney Swift
245,Apodiformes,Trochilidae,Phlogophilus hemileucurus,Residente,,Ecuadorian Piedtail,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,LC,LC,NT,FALSE,TRUE,,,TRUE,1,Phlogophilus hemileucurus,Ecuadorian Piedtail
248,Apodiformes,Trochilidae,Aglaiocercus coelestis,Residente,,Violet-tailed Sylph,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,LC,LC,,FALSE,TRUE,,,TRUE,1,Aglaiocercus coelestis,Violet-tailed Sylph
250,Apodiformes,Trochilidae,Opisthoprora euryptera,Residente,,Mountain Avocetbill,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,LC,LC,,FALSE,TRUE,,,TRUE,1,Opisthoprora euryptera,Mountain Avocetbill
